# pore width          PIM1_LD           PIM1_SWNT       PIM1_ND
0.13                  0.052149168	0.037799797	0.05473452
0.14999999            0.055309726	0.04040667	0.05473452
0.17                  0.058470283	0.041710096	0.05473452
0.18999998            0.060050573	0.041710096	0.056102893
0.20999999            0.060050573	0.043013543	0.057471267
0.23                  0.060050573	0.04431699	0.057471267
0.24999999            0.061630841	0.04431699	0.057471267
0.27000001            0.063211109	0.04431699	0.058839619
0.28999999            0.063211109	0.045620437	0.060207972
0.31                  0.063211109	0.046923884	0.060207972
0.33000001            0.063211109	0.046923884	0.060207972
0.34999999            0.064791398	0.046923884	0.060207972
0.37                  0.069532245	0.048227331	0.060207972
0.38999999            0.074273071	0.049530779	0.060207972
0.41                  0.075853339	0.053441099	0.061576345
0.43000001            0.075853339	0.058654845	0.062944719
0.44999999            0.075853339	0.061261718	0.062944719
0.47                  0.080594186	0.062565165	0.064313071
0.48999998            0.085335033	0.063868612	0.065681424
0.50999999            0.085335033	0.066475506	0.067049797
0.53000003            0.085335033	0.067778953	0.067049819
0.55000001            0.085335033	0.066475506	0.067049819
0.56999999            0.083754765	0.066475485	0.069786545
0.59000003            0.082174497	0.067778911	0.071154918
0.61000001            0.083754765	0.067778911	0.071154918
0.63                  0.086915323	0.067778932	0.071154918
0.65000004            0.09007588	0.067778953	0.072523271
0.67000002            0.091656148	0.070385826	0.071154897
0.69                  0.091656148	0.075599594	0.068418171
0.71000004            0.091656148	0.078206488	0.068418171
0.73000002            0.094816706	0.078206488	0.068418171
0.75                  0.097977263	0.078206488	0.069786545
0.77000004            0.097977263	0.079509914	0.072523271
0.79000002            0.099557532	0.083420234	0.073891623
0.81                  0.09955751	0.086027128	0.073891623
0.83000004            0.097977221	0.086027128	0.072523271
0.85000002            0.096396953	0.087330554	0.071154918
0.87                  0.094816685	0.087330533	0.071154918
0.88999999            0.096396953	0.084723639	0.071154918
0.91000003            0.097977221	0.082116766	0.073891644
0.93000001            0.096396953	0.08081334	0.075259997
0.94999999            0.094816685	0.082116787	0.075259997
0.97000003            0.094816685	0.083420234	0.079365096
0.99000001            0.094816685	0.083420234	0.083470174
1.01                  0.1011378	0.083420234	0.084838527
1.03                  0.107458915	0.084723681	0.084838527
1.05                  0.109039183	0.086027128	0.084838527
1.0699999             0.110619451	0.086027128	0.084838527
1.09                  0.112199741	0.084723681	0.084838527
1.11                  0.115360298	0.083420234	0.084838527
1.13                  0.118520856	0.083420234	0.083470153
1.15                  0.120101145	0.08472366	0.083470153
1.17                  0.118520877	0.086027086	0.084838527
1.1900001             0.116940609	0.087330533	0.083470153
1.21                  0.118520877	0.0925443	0.084838505
1.23                  0.121681435	0.095151194	0.087575253
1.25                  0.123261724	0.095151216	0.087575274
1.27                  0.124841992	0.095151216	0.087575274
1.29                  0.12642226	0.093847769	0.088943626
1.3100001             0.131163086	0.095151216	0.091680352
1.33                  0.134323644	0.096454642	0.094417078
