#      time    totEnergy    potEnergy   kinEneryFl  kinEnergyWa    tempFluid     tempWall
  290.00000   0.4117E+04  -0.2004E+04   0.3422E+04   0.2699E+04   0.1532E+01   0.1500E+01
  295.00000   0.4035E+04  -0.2041E+04   0.3377E+04   0.2699E+04   0.1512E+01   0.1500E+01
  300.00000   0.4095E+04  -0.2015E+04   0.3410E+04   0.2699E+04   0.1527E+01   0.1500E+01
  305.00000   0.4097E+04  -0.1963E+04   0.3361E+04   0.2699E+04   0.1505E+01   0.1500E+01
  310.00000   0.4210E+04  -0.1897E+04   0.3408E+04   0.2699E+04   0.1526E+01   0.1500E+01
  315.00000   0.4259E+04  -0.1888E+04   0.3448E+04   0.2699E+04   0.1544E+01   0.1500E+01
  320.00000   0.4128E+04  -0.1992E+04   0.3421E+04   0.2699E+04   0.1532E+01   0.1500E+01
  325.00000   0.4139E+04  -0.1954E+04   0.3394E+04   0.2699E+04   0.1520E+01   0.1500E+01
  330.00000   0.4060E+04  -0.2011E+04   0.3371E+04   0.2699E+04   0.1509E+01   0.1500E+01
  335.00000   0.4131E+04  -0.1865E+04   0.3297E+04   0.2699E+04   0.1476E+01   0.1500E+01
  340.00000   0.4087E+04  -0.1948E+04   0.3336E+04   0.2699E+04   0.1494E+01   0.1500E+01
  345.00000   0.4055E+04  -0.1961E+04   0.3317E+04   0.2699E+04   0.1485E+01   0.1500E+01
  350.00000   0.4053E+04  -0.2060E+04   0.3414E+04   0.2699E+04   0.1528E+01   0.1500E+01
  355.00000   0.4137E+04  -0.1920E+04   0.3358E+04   0.2699E+04   0.1503E+01   0.1500E+01
  360.00000   0.4126E+04  -0.2010E+04   0.3436E+04   0.2699E+04   0.1538E+01   0.1500E+01
  365.00000   0.3840E+04  -0.2120E+04   0.3261E+04   0.2699E+04   0.1460E+01   0.1500E+01
  370.00000   0.4035E+04  -0.1931E+04   0.3267E+04   0.2699E+04   0.1463E+01   0.1500E+01
  375.00000   0.3894E+04  -0.2094E+04   0.3289E+04   0.2699E+04   0.1472E+01   0.1500E+01
  380.00000   0.4033E+04  -0.1946E+04   0.3279E+04   0.2699E+04   0.1468E+01   0.1500E+01
  385.00000   0.4129E+04  -0.1946E+04   0.3376E+04   0.2699E+04   0.1512E+01   0.1500E+01
  390.00000   0.4123E+04  -0.1923E+04   0.3347E+04   0.2699E+04   0.1498E+01   0.1500E+01
  395.00000   0.3975E+04  -0.2027E+04   0.3303E+04   0.2699E+04   0.1479E+01   0.1500E+01
  400.00000   0.3972E+04  -0.2007E+04   0.3279E+04   0.2699E+04   0.1468E+01   0.1500E+01
  405.00000   0.3902E+04  -0.2061E+04   0.3264E+04   0.2699E+04   0.1461E+01   0.1500E+01
  410.00000   0.3977E+04  -0.2040E+04   0.3318E+04   0.2699E+04   0.1485E+01   0.1500E+01
  415.00000   0.3891E+04  -0.2039E+04   0.3231E+04   0.2699E+04   0.1446E+01   0.1500E+01
  420.00000   0.3881E+04  -0.2018E+04   0.3200E+04   0.2699E+04   0.1433E+01   0.1500E+01
  425.00000   0.3837E+04  -0.2140E+04   0.3278E+04   0.2699E+04   0.1468E+01   0.1500E+01
  430.00000   0.3842E+04  -0.2059E+04   0.3202E+04   0.2699E+04   0.1434E+01   0.1500E+01
  435.00000   0.3910E+04  -0.1959E+04   0.3170E+04   0.2699E+04   0.1419E+01   0.1500E+01
  440.00000   0.3923E+04  -0.2009E+04   0.3233E+04   0.2699E+04   0.1447E+01   0.1500E+01
  445.00000   0.3833E+04  -0.2114E+04   0.3247E+04   0.2699E+04   0.1454E+01   0.1500E+01
  450.00000   0.3967E+04  -0.2002E+04   0.3270E+04   0.2699E+04   0.1464E+01   0.1500E+01
  455.00000   0.3956E+04  -0.1915E+04   0.3171E+04   0.2699E+04   0.1420E+01   0.1500E+01
  460.00000   0.3858E+04  -0.2078E+04   0.3238E+04   0.2699E+04   0.1450E+01   0.1500E+01
  465.00000   0.3877E+04  -0.2063E+04   0.3241E+04   0.2699E+04   0.1451E+01   0.1500E+01
  470.00000   0.3899E+04  -0.2025E+04   0.3225E+04   0.2699E+04   0.1444E+01   0.1500E+01
  475.00000   0.3848E+04  -0.2180E+04   0.3328E+04   0.2699E+04   0.1490E+01   0.1500E+01
  480.00000   0.3956E+04  -0.2052E+04   0.3309E+04   0.2699E+04   0.1481E+01   0.1500E+01
  485.00000   0.3969E+04  -0.2139E+04   0.3409E+04   0.2699E+04   0.1526E+01   0.1500E+01
